User,Risk Score,Risk Level
user021,30,🟢 Low
user022,30,🟢 Low
user023,30,🟢 Low
user024,30,🟢 Low
user025,30,🟢 Low
user026,30,🟢 Low
user027,30,🟢 Low
user028,30,🟢 Low
user029,30,🟢 Low
user030,30,🟢 Low
user041,20,🟢 Low
user042,20,🟢 Low
user043,20,🟢 Low
user044,20,🟢 Low
user045,20,🟢 Low
user046,20,🟢 Low
user047,20,🟢 Low
user048,20,🟢 Low
user049,20,🟢 Low
user050,20,🟢 Low
user001,50,🟠 Medium
user002,50,🟠 Medium
user003,50,🟠 Medium
user004,50,🟠 Medium
user005,50,🟠 Medium
user006,50,🟠 Medium
user007,50,🟠 Medium
user008,50,🟠 Medium
user009,50,🟠 Medium
user010,50,🟠 Medium
user031,40,🟠 Medium
user032,40,🟠 Medium
user033,40,🟠 Medium
user034,40,🟠 Medium
user035,40,🟠 Medium
user036,40,🟠 Medium
user037,40,🟠 Medium
user038,40,🟠 Medium
user039,40,🟠 Medium
user040,40,🟠 Medium
